filename	label	start_span	end_span	span
es-S0210-48062005000300016-2	ENFERMEDAD	245	267	hematuria macroscópica
es-S0210-48062005000300016-2	ENFERMEDAD	1594	1619	isquemia miocárdica aguda
es-S0210-48062005000300016-2	ENFERMEDAD	421	452	accidente isquémico transitorio
es-S0210-48062005000300016-2	ENFERMEDAD	526	543	arritmia cardíaca
es-S0210-48062005000300016-2	ENFERMEDAD	546	558	valvulopatía
es-S0210-48062005000300016-2	ENFERMEDAD	570	595	episodios tromboembólicos
es-S0210-48062005000300016-2	ENFERMEDAD	638	655	litiasis urinaria
es-S0210-48062005000300016-2	ENFERMEDAD	1923	1941	dilatación aórtica
es-S0210-48062005000300016-2	ENFERMEDAD	1944	1970	aneurisma de arteria renal
es-S0210-48062005000300016-2	ENFERMEDAD	711	727	abuso de cocaína
es-S0210-48062005000300016-2	ENFERMEDAD	751	766	hepatitis B o C
es-S0210-48062005000300016-2	ENFERMEDAD	2272	2291	episodios embólicos
es-S0210-48062005000300016-2	ENFERMEDAD	342	354	Hipertensión
es-S0210-48062005000300016-2	ENFERMEDAD	3300	3309	embolismo
es-S0210-48062005000300016-2	ENFERMEDAD	3331	3351	enfermedad sistémica
es-S0210-48062005000300016-2	ENFERMEDAD	3404	3416	hipertensión
es-S0210-48062005000300016-2	ENFERMEDAD	2540	2563	vegetaciones valvulares
es-S0210-48062005000300016-2	ENFERMEDAD	1840	1848	isquemia
es-S0210-48062005000300016-2	ENFERMEDAD	2586	2607	discinesia miocárdica
es-S0210-48062005000300016-2	ENFERMEDAD	2843	2918	macro/ microaneurismas o alteraciones de la arteria renal principal o aorta
es-S0210-48062005000300016-2	ENFERMEDAD	2950	2985	enfermedad protrombótica y vascular
es-S0365-66912009000300010-1	ENFERMEDAD	2148	2156	diplopía
es-S0365-66912009000300010-1	ENFERMEDAD	1803	1831	diplopía en la visión lejana
es-S0365-66912009000300010-1	ENFERMEDAD	1425	1444	vasculitis cerebral
es-S0365-66912009000300010-1	ENFERMEDAD	1865	1901	parálisis del VI par craneal derecho
es-S0365-66912009000300010-1	ENFERMEDAD	209	222	cuadro gripal
es-S0365-66912009000300010-1	ENFERMEDAD	1587	1597	vasculitis
es-S0365-66912009000300010-1	ENFERMEDAD	2118	2126	diplopía
es-S0365-66912009000300010-1	ENFERMEDAD	599	604	EPPMA
es-S0365-66912009000300010-1	ENFERMEDAD	485	554	lesiones confluentes blanco-grisáceas en polo posterior en ambos ojos
es-S0365-66912009000300010-1	ENFERMEDAD	918	926	lesiones
es-S1889-836X2016000100006-1	ENFERMEDAD	189	198	fracturas
es-S1889-836X2016000100006-1	ENFERMEDAD	754	766	osteoporosis
es-S1889-836X2016000100006-1	ENFERMEDAD	43	45	OI
es-S1889-836X2016000100006-1	ENFERMEDAD	1643	1645	OI
es-S1889-836X2016000100006-1	ENFERMEDAD	1037	1062	dentinogénesis imperfecta
es-S1889-836X2016000100006-1	ENFERMEDAD	1078	1100	deformidades torácicas
es-S1889-836X2016000100006-1	ENFERMEDAD	1779	1811	cambios degenerativos en columna
es-S1889-836X2016000100006-1	ENFERMEDAD	385	411	fracturas en codo y hombro
es-S1889-836X2016000100006-1	ENFERMEDAD	1560	1572	osteoporosis
es-S1889-836X2016000100006-1	ENFERMEDAD	1982	1996	litiasis renal
es-S1889-836X2016000100006-1	ENFERMEDAD	572	581	esguinces
es-S1889-836X2016000100006-1	ENFERMEDAD	591	609	roturas musculares
es-S1889-836X2016000100006-1	ENFERMEDAD	628	641	otoesclerosis
es-S1889-836X2016000100006-1	ENFERMEDAD	1707	1724	impresión basilar
es-S1889-836X2016000100006-1	ENFERMEDAD	272	315	traumatismos mínimos, la primera del húmero
es-S1889-836X2016000100006-1	ENFERMEDAD	1006	1021	escleras azules
es-S1889-836X2016000100006-1	ENFERMEDAD	1198	1210	hiperlaxitud
es-S1889-836X2016000100006-1	ENFERMEDAD	1849	1882	dilatación de la aorta ascendente
es-S1889-836X2016000100006-1	ENFERMEDAD	2157	2225	gen COL1A1 una deleción en heterocigosis de una Guanina (c.3524delG)
es-S1130-05582013000400006-1	ENFERMEDAD	973	988	lesión vascular
es-S1130-05582013000400006-1	ENFERMEDAD	1908	1937	malformación venosa intraósea
es-S1130-05582013000400006-1	ENFERMEDAD	569	583	lesión medular
es-S1130-05582013000400006-1	ENFERMEDAD	1724	1744	hemangioma intraóseo
es-S1130-05582013000400006-1	ENFERMEDAD	203	214	traumatismo
es-S1130-05582013000400006-1	ENFERMEDAD	254	260	lesión
es-S1130-05582013000400006-1	ENFERMEDAD	428	483	lesión malar expansiva, polilobulada, con calcificación
es-S1130-05582013000400006-1	ENFERMEDAD	751	775	lesión osteolítica malar
es-S1139-76322013000400008-1	ENFERMEDAD	563	601	hipertrofia de las amígdalas palatinas
es-S1139-76322013000400008-1	ENFERMEDAD	203	233	lesiones habonosas diseminadas
es-S1139-76322013000400008-1	ENFERMEDAD	238	248	angioedema
es-S0211-69952013000200025-1	ENFERMEDAD	55	84	anemia de células falciformes
es-S0211-69952013000200025-1	ENFERMEDAD	87	123	insuficiencia renal crónica terminal
es-S0211-69952013000200025-1	ENFERMEDAD	198	216	crisis falciformes
es-S0211-69952013000200025-1	ENFERMEDAD	723	742	acidosis metabólica
es-S0211-69952013000200025-1	ENFERMEDAD	1568	1589	rechazo agudo humoral
es-S0211-69952013000200025-1	ENFERMEDAD	1122	1154	crisis vaso-oclusiva del injerto
es-S0211-69952013000200025-1	ENFERMEDAD	1773	1790	crisis falciforme
es-S0211-69952013000200025-1	ENFERMEDAD	1592	1609	crisis falciforme
es-S0211-69952013000200025-1	ENFERMEDAD	517	526	hipotensa
es-S1139-76322015000400008-1	ENFERMEDAD	754	808	dilatación de pelvis renal derecha grado leve-moderada
es-S1139-76322015000400008-1	ENFERMEDAD	371	391	adenitis mesentérica
es-S1139-76322015000400008-1	ENFERMEDAD	398	437	dilatación de pelvis renal derecha leve
es-S1139-76322015000400008-1	ENFERMEDAD	183	203	infecciones de orina
es-S1139-76322015000400008-1	ENFERMEDAD	455	474	estenosis de la UPU
es-S1139-76322015000400008-1	ENFERMEDAD	866	901	estenosis de la unión pieloureteral
es-S1139-76322015000400008-1	ENFERMEDAD	930	958	ectasia obstructiva en riñón
es-S1139-76322015000400008-1	ENFERMEDAD	1219	1270	dilatación del tracto urinario de causa obstructiva
es-S1139-76322015000400008-1	ENFERMEDAD	720	749	dilatación de la vía urinaria
es-S0376-78922007000400008-1	ENFERMEDAD	2817	2838	fracaso multiorgánico
es-S0376-78922007000400008-1	ENFERMEDAD	48	55	bebedor
es-S0376-78922007000400008-1	ENFERMEDAD	2840	2859	fracaso renal agudo
es-S0376-78922007000400008-1	ENFERMEDAD	2861	2873	coagulopatia
es-S0376-78922007000400008-1	ENFERMEDAD	86	91	obeso
es-S0376-78922007000400008-1	ENFERMEDAD	2876	2914	síndrome de distrés respiratorio agudo
es-S0376-78922007000400008-1	ENFERMEDAD	1146	1153	ascitis
es-S0376-78922007000400008-1	ENFERMEDAD	1171	1190	hepatopatía crónica
es-S0376-78922007000400008-1	ENFERMEDAD	482	489	ascitis
es-S0376-78922007000400008-1	ENFERMEDAD	1193	1207	esplenomegalia
es-S0376-78922007000400008-1	ENFERMEDAD	1234	1259	insuficiencia renal aguda
es-S0376-78922007000400008-1	ENFERMEDAD	1282	1318	hepatópata crónico de origen enólico
es-S0376-78922007000400008-1	ENFERMEDAD	1321	1353	celulitis en extremidad inferior
es-S0376-78922007000400008-1	ENFERMEDAD	1629	1657	lesiones en miembro inferior
es-S0376-78922007000400008-1	ENFERMEDAD	1712	1721	celulitis
es-S0376-78922007000400008-1	ENFERMEDAD	1737	1745	ampollas
es-S0376-78922007000400008-1	ENFERMEDAD	2360	2391	lesiones en extremidad inferior
es-S0376-78922007000400008-1	ENFERMEDAD	2447	2508	ampollas hasta el tercio medio de muslo y afectación escrotal
es-S0376-78922007000400008-1	ENFERMEDAD	25	46	alérgico a Penicilina
es-S0376-78922007000400008-1	ENFERMEDAD	610	619	petequias
es-S1130-01082008000900015-1	ENFERMEDAD	101	116	cuadro sincopal
es-S1130-01082008000900015-1	ENFERMEDAD	135	167	deposición melénica-rectorrágica
es-S1130-01082008000900015-1	ENFERMEDAD	828	852	mucosa gástrica ectópica
es-S1130-01082008000900015-1	ENFERMEDAD	868	889	divertículo de Meckel
es-S1130-01082008000900015-1	ENFERMEDAD	1008	1029	divertículo de Meckel
es-S1130-01082008000900015-1	ENFERMEDAD	1196	1207	divertículo
es-S1130-01082008000900015-1	ENFERMEDAD	1422	1476	divertículo de Meckel con mucosa gástrica heterotópica
es-S1130-01082008000900015-1	ENFERMEDAD	498	552	lesiones incipientes angiodisplásicas de colon y recto
es-S0210-48062004000900010-1	ENFERMEDAD	2033	2068	cistitis granulomatosa tuberculoide
es-S0210-48062004000900010-1	ENFERMEDAD	2171	2248	tuberculosis genitourinaria con tuberculoma vesical y afectación renoureteral
es-S0210-48062004000900010-1	ENFERMEDAD	1382	1421	riñón izquierdo con dilatación calicial
es-S0210-48062004000900010-1	ENFERMEDAD	2085	2088	TBC
es-S0210-48062004000900010-1	ENFERMEDAD	72	85	hiperglucemia
es-S0210-48062004000900010-1	ENFERMEDAD	1461	1482	dilatación del uréter
es-S0210-48062004000900010-1	ENFERMEDAD	133	136	TBC
es-S0210-48062004000900010-1	ENFERMEDAD	2829	2848	hidrocele bilateral
es-S0210-48062004000900010-1	ENFERMEDAD	3242	3245	TBC
es-S0210-48062004000900010-1	ENFERMEDAD	3288	3306	Vejiga de esfuerzo
es-S0210-48062004000900010-1	ENFERMEDAD	3309	3331	hipertrofia prostática
es-S0210-48062004000900010-1	ENFERMEDAD	1047	1091	litiasis en polo inferior de riñón izquierdo
es-S0210-48062004000900010-1	ENFERMEDAD	1140	1184	litiasis en polo inferior de riñón izquierdo
es-S0210-48062004000900010-1	ENFERMEDAD	1187	1218	dilatación irregular del uréter
es-S0210-48062004000900010-1	ENFERMEDAD	2595	2633	fístula con exudado en teste izquierdo
es-S0210-48062004000900010-1	ENFERMEDAD	119	150	tuberculosis (TBC) epididimaria
es-S0210-48062004000900010-1	ENFERMEDAD	187	194	fumador
es-S1130-63432013000300012-1	ENFERMEDAD	97	117	hemorragia digestiva
es-S1130-63432013000300012-1	ENFERMEDAD	139	158	valvulopatía mitral
es-S1130-63432013000300012-1	ENFERMEDAD	1905	1933	hipertensión pulmonar severa
es-S1130-63432013000300012-1	ENFERMEDAD	260	279	sangrado intestinal
es-S1130-63432013000300012-1	ENFERMEDAD	303	328	anemia ferropénica severa
es-S1130-63432013000300012-1	ENFERMEDAD	2169	2193	tromboembolismo pulmonar
es-S1130-63432013000300012-1	ENFERMEDAD	514	533	sangrado intestinal
es-S1130-63432013000300012-1	ENFERMEDAD	633	713	angiodisplasias intestinales en antro duodenal, yeyuno proximal e íleon terminal
es-S1130-63432013000300012-1	ENFERMEDAD	988	1003	angiodisplasias
es-S1130-63432013000300012-1	ENFERMEDAD	1047	1070	angiodisplasias ileales
es-S1130-63432013000300012-1	ENFERMEDAD	1290	1298	lesiones
es-S1130-01082010000600012-1	ENFERMEDAD	862	874	lumbociática
es-S1130-01082010000600012-1	ENFERMEDAD	1475	1516	lesión situada a 18 cm de arcada dentaria
es-S1130-01082010000600012-1	ENFERMEDAD	2061	2077	melanoma maligno
es-S1130-01082010000600012-1	ENFERMEDAD	686	731	lesiones vertebrales (en D7 y desde D9 a D12)
es-S1130-01082010000600012-1	ENFERMEDAD	879	951	lesiones vertebrales múltiples de origen osteoporótico en columna dorsal
es-S1130-01082010000600012-1	ENFERMEDAD	1684	1724	metástasis hepáticas en segmento IV y II
es-S1130-01082010000600012-1	ENFERMEDAD	78	86	obesidad
es-S1130-01082010000600012-1	ENFERMEDAD	88	91	HTA
es-S1130-01082010000600012-1	ENFERMEDAD	748	789	aplastamientos vertebrales osteoporóticos
es-S1130-01082010000600012-1	ENFERMEDAD	93	105	fibromialgia
es-S1130-01082010000600012-1	ENFERMEDAD	108	127	hernia discal D3-D4
es-S1130-01082010000600012-1	ENFERMEDAD	1941	1963	implantes mesentéricos
es-S1130-01082010000600012-1	ENFERMEDAD	1965	2036	metástasis hepáticas múltiples y óseas en esqueleto axial y periféricas
es-S1130-01082010000600012-1	ENFERMEDAD	1295	1308	hepatomegalia
es-S1130-01082010000600012-1	ENFERMEDAD	1611	1622	adenopatías
es-S1130-01082010000600012-1	ENFERMEDAD	316	324	disfagia
es-S1130-01082010000600012-1	ENFERMEDAD	1140	1148	disfagia
es-S1130-01082010000600012-1	ENFERMEDAD	227	239	lumbociática
es-S1130-01082010000600012-1	ENFERMEDAD	1894	1906	masa tumoral
es-S1137-66272013000200019-1	ENFERMEDAD	44	62	orejas prominentes
es-S1137-66272013000200019-1	ENFERMEDAD	1729	1785	oreja derecha presentó una dehiscencia pequeña de sutura
es-S1137-66272013000200019-1	ENFERMEDAD	115	163	orejas se desarrolló progresivamente un queloide
es-S1137-66272013000200019-1	ENFERMEDAD	205	214	queloides
es-S1137-66272013000200019-1	ENFERMEDAD	2036	2076	oreja derecha se desarrolló una recidiva
es-S1137-66272013000200019-1	ENFERMEDAD	1189	1207	nódulos queloideos
es-S1137-66272013000200019-1	ENFERMEDAD	1256	1282	atrofia de anejos cutáneos
es-S1137-66272013000200019-1	ENFERMEDAD	1519	1529	cicatrices
es-S1137-66272013000200019-1	ENFERMEDAD	493	501	lesiones
es-S1137-66272013000200019-1	ENFERMEDAD	2124	2132	queloide
es-S1137-66272013000200019-1	ENFERMEDAD	709	717	queloide
es-S1137-66272013000200019-1	ENFERMEDAD	969	977	queloide
es-S0211-69952014000200012-2	ENFERMEDAD	45	81	IRC secundaria a poliquistosis renal
es-S0211-69952014000200012-2	ENFERMEDAD	62	81	poliquistosis renal
es-S0211-69952014000200012-2	ENFERMEDAD	183	238	complicaciones del trasplante presentó un rechazo agudo
es-S0211-69952014000200012-2	ENFERMEDAD	394	442	pérdida del injerto renal por nefropatía crónica
es-S0211-69952014000200012-2	ENFERMEDAD	424	442	nefropatía crónica
es-S0211-69952014000200012-2	ENFERMEDAD	463	485	hepatitis «no-A, no-B»
es-S0211-69952014000200012-2	ENFERMEDAD	1173	1201	eritema exudativo multiforme
es-S0211-69952014000200012-2	ENFERMEDAD	1005	1030	rechazo agudo del injerto
es-S1134-80462015000300003-1	ENFERMEDAD	41	83	alérgico a tetraciclinas y beta-lactámicos
es-S1134-80462015000300003-1	ENFERMEDAD	104	125	hipertensión arterial
es-S1134-80462015000300003-1	ENFERMEDAD	244	288	espondiloartrósico con componente miofascial
es-S1134-80462015000300003-1	ENFERMEDAD	870	886	ptosis palpebral
es-S1134-80462015000300003-1	ENFERMEDAD	947	953	ptosis
es-S1134-80462015000300003-1	ENFERMEDAD	1123	1139	ptosis palpebral
es-S1134-80462015000300003-1	ENFERMEDAD	1290	1306	miastenia gravis
es-S1134-80462015000300003-1	ENFERMEDAD	1151	1159	diplopía
es-S1134-80462015000300003-1	ENFERMEDAD	1308	1310	MG
es-S0212-71992007000300006-1	ENFERMEDAD	72	96	enolismo moderado-severo
es-S0212-71992007000300006-1	ENFERMEDAD	98	119	hipertensión arterial
es-S0212-71992007000300006-1	ENFERMEDAD	122	143	cardiopatía isquémica
es-S0212-71992007000300006-1	ENFERMEDAD	2282	2303	intoxicaciones por OP
es-S0212-71992007000300006-1	ENFERMEDAD	239	320	post-ingesta de un OP (Metasystox®: oxidemetón-metilo) en un intento de autolisis
es-S0212-71992007000300006-1	ENFERMEDAD	3041	3067	insuficiencia respiratoria
es-S0212-71992007000300006-1	ENFERMEDAD	3184	3196	intoxicación
es-S0212-71992007000300006-1	ENFERMEDAD	3408	3457	traqueobronquiolitis nosocomial por H. influenzae
es-S0212-71992007000300006-1	ENFERMEDAD	2846	2848	SI
es-S0212-71992007000300006-1	ENFERMEDAD	2998	3015	intoxicado por OP
es-S0212-71992007000300006-1	ENFERMEDAD	509	518	hipotenso
es-S0212-71992007000300006-1	ENFERMEDAD	2309	2333	mioclonías generalizadas
es-S0212-71992007000300006-1	ENFERMEDAD	2530	2549	mioclonías faciales
es-S1139-76322015000300015-1	ENFERMEDAD	64	77	criptorquidia
es-S1139-76322015000300015-1	ENFERMEDAD	171	202	inflamación parotídea bilateral
es-S1139-76322015000300015-1	ENFERMEDAD	641	676	tumoración laterocervical bilateral
es-S1130-01082008000800010-1	ENFERMEDAD	44	59	diarrea crónica
es-S1130-01082008000800010-1	ENFERMEDAD	1294	1330	carcinoma de células renales papilar
es-S1130-01082008000800010-1	ENFERMEDAD	680	686	lesión
es-S1130-01082008000800010-1	ENFERMEDAD	1090	1096	lesión
es-S1130-01082007000700011-2	ENFERMEDAD	2878	2887	neoplasia
es-S1130-01082007000700011-2	ENFERMEDAD	1784	1828	neoplasia a nivel del tercio medio esofágico
es-S1130-01082007000700011-2	ENFERMEDAD	70	78	fumadora
es-S1130-01082007000700011-2	ENFERMEDAD	1261	1272	adenopatías
es-S1130-01082007000700011-2	ENFERMEDAD	1869	1919	adenopatías en el área subcarinal, supraclavicular
es-S1130-01082007000700011-2	ENFERMEDAD	1357	1400	cicatriz subcostal derecha e infraumbilical
es-S1130-01082007000700011-2	ENFERMEDAD	1951	2014	adenopatías en retroperitoneo, área retrocrural y cadena iliaca
es-S1130-01082007000700011-2	ENFERMEDAD	217	239	polimiomatosis uterina
es-S1130-01082007000700011-2	ENFERMEDAD	2648	2666	infiltraba esófago
es-S1130-01082007000700011-2	ENFERMEDAD	2690	2710	adenopatías celiacas
es-S1130-01082007000700011-2	ENFERMEDAD	2090	2106	quiste esplénico
es-S1130-01082007000700011-2	ENFERMEDAD	2124	2167	lesión ocupante de espacio a nivel pulmonar
es-S1130-01082007000700011-2	ENFERMEDAD	2754	2797	carcinoma de células pequeñas tipo oat-cell
es-S1130-01082007000700011-2	ENFERMEDAD	424	439	hernia de hiato
es-S1130-01082007000700011-2	ENFERMEDAD	2303	2326	carcinoma tipo oat-cell
es-S1130-01082007000700011-2	ENFERMEDAD	2347	2363	invasión pleural
