filename	mention_id	label	start_span	end_span	span	code	semantic_rel	annotation	sentence	Prediction	Predicted_code
196_1	196_1.52	Anatomy	1285	1289	peau	C1123023	EXACT	Peau	Lorsque le patient active IONSYS , un faible courant électrique fait passer une dose de fentanyl du réservoir à travers la [peau]{Anatomy} et dans la circulation sanguine .	Skin	C1123023
196_1	196_1.53	Physiology	1301	1321	circulation sanguine	C0005775	EXACT	Circulation sanguine	Lorsque le patient active IONSYS , un faible courant électrique fait passer une dose de fentanyl du réservoir à travers la peau et dans la [circulation sanguine]{Physiology} .	Blood Circulation	C0005775
196_1	196_1.54	Anatomy	1313	1321	sanguine	C0005767	EXACT	Sanguis	Lorsque le patient active IONSYS , un faible courant électrique fait passer une dose de fentanyl du réservoir à travers la peau et dans la circulation [sanguine]{Anatomy} .	Blood	C0005767
196_1	196_1.55	Physiology	1351	1371	circulation sanguine	C0005775	EXACT	Circulation sanguine	Une fois présent dans la [circulation sanguine]{Physiology} , le fentanyl agit sur les récepteurs du cerveau et de la moelle épinière pour neutraliser la douleur .	Blood Circulation	C0005775
196_1	196_1.56	Anatomy	1363	1371	sanguine	C0005767	EXACT	Sanguis	Une fois présent dans la circulation [sanguine]{Anatomy} , le fentanyl agit sur les récepteurs du cerveau et de la moelle épinière pour neutraliser la douleur .	Blood	C0005767
196_1	196_1.57	Chemicals & Drugs	1377	1385	fentanyl	C0015846	EXACT	Fentanyl	Une fois présent dans la circulation sanguine , le [fentanyl]{Chemicals & Drugs} agit sur les récepteurs du cerveau et de la moelle épinière pour neutraliser la douleur .	Fentanyl	C0015846
196_1	196_1.59	Anatomy	1413	1420	cerveau	C0006104	EXACT	Nervous System, Brain	Une fois présent dans la circulation sanguine , le fentanyl agit sur les récepteurs du [cerveau]{Anatomy} et de la moelle épinière pour neutraliser la douleur .	Brain	C0006104
196_1	196_1.60	Anatomy	1430	1445	moelle épinière	C0037925	EXACT	Moelle épinière	Une fois présent dans la circulation sanguine , le fentanyl agit sur les récepteurs du cerveau et de la [moelle épinière]{Anatomy} pour neutraliser la douleur .	Spinal Cord	C0037925
196_1	196_1.61	Disorders	1466	1473	douleur	C0030193	EXACT	DOULEUR	Une fois présent dans la circulation sanguine , le fentanyl agit sur les récepteurs du cerveau et de la moelle épinière pour neutraliser la [douleur]{Disorders} .	Pain	C0030193
196_1	196_1.64	Procedures	1523	1531	observés	C0302523	EXACT	Observation in research	Les effets d ’ IONSYS ont été tout d ’ abord [observés]{Procedures} sur des modèles expérimentaux avant d ’ être étudiés chez l ’ homme .	Observation in research	C0302523
196_1	196_1.65	Living Beings	1594	1599	homme	C0086418	EXACT	Homme moderne	Les effets d ’ IONSYS ont été tout d ’ abord observés sur des modèles expérimentaux avant d ’ être étudiés chez l ’ [homme]{Living Beings} .	Homo sapiens	C0086418
196_1	196_1.68	Procedures	1931	1943	administrait	C1533734	EXACT	Administration	eu ©EMEA 2008 Reproduction and / or distribution of this document is authorised for non commercial purposes only provided the EMEA is acknowledged transdermique identique au dispositif IONSYS , mais qui n ’ [administrait]{Procedures} aucun médicament ).	Administration procedure	C1533734
196_1	196_1.69	Chemicals & Drugs	1950	1960	médicament	C0013227	EXACT	Médicaments	eu ©EMEA 2008 Reproduction and / or distribution of this document is authorised for non commercial purposes only provided the EMEA is acknowledged transdermique identique au dispositif IONSYS , mais qui n ’ administrait aucun [médicament]{Chemicals & Drugs} ).	Pharmaceutical Preparations	C0013227
196_1	196_1.70	Procedures	1975	1981	études	C2603343	EXACT	Study	Dans les [études]{Procedures} comparant IONSYS à un placebo , la proportion de patients ayant abandonné le traitement en raison d ’ une absence de contrôle de la douleur qu ’ ils ressentaient était inférieure chez les patients traités par IONSYS par rapport à ceux qui reçoivent un placebo .	Study	C2603343
196_1	196_1.72	Chemicals & Drugs	2004	2011	placebo	C1696465	EXACT	Placebo	Dans les études comparant IONSYS à un [placebo]{Chemicals & Drugs} , la proportion de patients ayant abandonné le traitement en raison d ’ une absence de contrôle de la douleur qu ’ ils ressentaient était inférieure chez les patients traités par IONSYS par rapport à ceux qui reçoivent un placebo .	Placebo	C1696465
196_1	196_1.73	Living Beings	2031	2039	patients	C0030705	EXACT	Patients	Dans les études comparant IONSYS à un placebo , la proportion de [patients]{Living Beings} ayant abandonné le traitement en raison d ’ une absence de contrôle de la douleur qu ’ ils ressentaient était inférieure chez les patients traités par IONSYS par rapport à ceux qui reçoivent un placebo .	Patients	C0030705
196_1	196_1.74	Procedures	2059	2069	traitement	C0087111	EXACT	Traitement	Dans les études comparant IONSYS à un placebo , la proportion de patients ayant abandonné le [traitement]{Procedures} en raison d ’ une absence de contrôle de la douleur qu ’ ils ressentaient était inférieure chez les patients traités par IONSYS par rapport à ceux qui reçoivent un placebo .	Therapeutic procedure	C0087111
196_1	196_1.76	Disorders	2114	2121	douleur	C0030193	EXACT	DOULEUR	Dans les études comparant IONSYS à un placebo , la proportion de patients ayant abandonné le traitement en raison d ’ une absence de contrôle de la [douleur]{Disorders} qu ’ ils ressentaient était inférieure chez les patients traités par IONSYS par rapport à ceux qui reçoivent un placebo .	Pain	C0030193
196_1	196_1.77	Living Beings	2170	2178	patients	C0030705	EXACT	Patients	Dans les études comparant IONSYS à un placebo , la proportion de patients ayant abandonné le traitement en raison d ’ une absence de contrôle de la douleur qu ’ ils ressentaient était inférieure chez les [patients]{Living Beings} traités par IONSYS par rapport à ceux qui reçoivent un placebo .	Patients	C0030705
196_1	196_1.78	Procedures	2179	2186	traités	C0087111	EXACT	Traitement	Dans les études comparant IONSYS à un placebo , la proportion de patients ayant abandonné le traitement en raison d ’ une absence de contrôle de la douleur qu ’ ils ressentaient était inférieure chez les patients [traités]{Procedures} par IONSYS par rapport à ceux qui reçoivent un placebo .	Therapeutic procedure	C0087111
196_1	196_1.80	Chemicals & Drugs	2234	2241	placebo	C1696465	EXACT	Placebo	Dans les études comparant IONSYS à un placebo , la proportion de patients ayant abandonné le traitement en raison d ’ une absence de contrôle de la douleur qu ’ ils ressentaient était inférieure chez les patients traités par IONSYS par rapport à ceux qui reçoivent un [placebo]{Chemicals & Drugs} .	Placebo	C1696465
196_1	196_1.81	Disorders	2258	2264	risque	C0184544	EXACT	Medication risk	Quel est le [risque]{Disorders} associé à l	Medication risk	C0184544
196_1	196_1.82	Disorders	2283	2302	effets indésirables	C0559546	EXACT	Réaction indésirable	Les [effets indésirables]{Disorders} les plus couramment observés avec IONSYS ( chez plus d ’ un patient sur 10 ) sont les nausées , les vomissements , la céphalée et l	Adverse reactions	C0559546
196_1	196_1.84	Living Beings	2363	2370	patient	C0030705	EXACT	PATIENT	Les effets indésirables les plus couramment observés avec IONSYS ( chez plus d ’ un [patient]{Living Beings} sur 10 ) sont les nausées , les vomissements , la céphalée et l	Patients	C0030705
196_1	196_1.85	Disorders	2389	2396	nausées	C0027497	EXACT	Nausées	Les effets indésirables les plus couramment observés avec IONSYS ( chez plus d ’ un patient sur 10 ) sont les [nausées]{Disorders} , les vomissements , la céphalée et l	Nausea	C0027497
196_1	196_1.86	Disorders	2403	2415	vomissements	C0042963	EXACT	VOMISSEMENT	Les effets indésirables les plus couramment observés avec IONSYS ( chez plus d ’ un patient sur 10 ) sont les nausées , les [vomissements]{Disorders} , la céphalée et l	Vomiting	C0042963
196_1	196_1.88	Disorders	2470	2489	effets indésirables	C0559546	EXACT	Réaction indésirable	Pour avoir le détail de tous les [effets indésirables]{Disorders} observés lors de l	Adverse reactions	C0559546
196_1	196_1.90	Phenomena	2599	2607	sécurité	C0036043	EXACT	Sécurité	Quelles mesures ont été prises pour garantir la [sécurité]{Phenomena} d	Safety	C0036043
196_1	196_1.92	Geographic Areas	2669	2679	européenne	C0015176	EXACT	Europe	La Commission [européenne]{Geographic Areas} a délivré une autorisation de mise sur le marché valide dans toute l ’ Union européenne pour IONSYS à Janssen-Cilag International NV le 24 janvier 2006 .	Europe	C0015176
196_1	196_1.101	Chemicals & Drugs	3035	3043	fentanyl	C0015846	EXACT	Fentanyl	Chaque dispositif IONSYS contient 10 , 8 mg de chlorhydrate de [fentanyl]{Chemicals & Drugs} équivalent à 9 , 7 mg de fentanyl et délivre 40 microgrammes de fentanyl par dose , jusqu ’ à un maximum de 3 , 2 mg ( 80 doses ).	Fentanyl	C0015846
196_1	196_1.102	Chemicals & Drugs	3069	3077	fentanyl	C0015846	EXACT	Fentanyl	Chaque dispositif IONSYS contient 10 , 8 mg de chlorhydrate de fentanyl équivalent à 9 , 7 mg de [fentanyl]{Chemicals & Drugs} et délivre 40 microgrammes de fentanyl par dose , jusqu ’ à un maximum de 3 , 2 mg ( 80 doses ).	Fentanyl	C0015846
196_1	196_1.104	Chemicals & Drugs	3108	3116	fentanyl	C0015846	EXACT	Fentanyl	Chaque dispositif IONSYS contient 10 , 8 mg de chlorhydrate de fentanyl équivalent à 9 , 7 mg de fentanyl et délivre 40 microgrammes de [fentanyl]{Chemicals & Drugs} par dose , jusqu ’ à un maximum de 3 , 2 mg ( 80 doses ).	Fentanyl	C0015846
196_1	196_1.107	Objects	3253	3260	produit	C1514468	EXACT	Product	La partie supérieure du [produit]{Objects} est blanche et porte l ’ identifiant ″ IONSYS ™	Product	C1514468
196_1	196_1.110	Disorders	3322	3329	indiqué	C1444656	EXACT	Indicated	IONSYS est [indiqué]{Disorders} dans le traitement des douleurs post-opératoires aiguës modérées à sévères , uniquement en milieu hospitalier .	Indicated	C1444656
196_1	196_1.111	Procedures	3338	3348	traitement	C0087111	EXACT	Traitement	IONSYS est indiqué dans le [traitement]{Procedures} des douleurs post-opératoires aiguës modérées à sévères , uniquement en milieu hospitalier .	Therapeutic procedure	C0087111
196_1	196_1.112	Disorders	3353	3378	douleurs post-opératoires	C0030201	EXACT	Douleur post-opératoire	IONSYS est indiqué dans le traitement des [douleurs post-opératoires]{Disorders} aiguës modérées à sévères , uniquement en milieu hospitalier .	Postoperative pain	C0030201
196_1	196_1.113	Disorders	3353	3361	douleurs	C0030193	EXACT	DOULEUR	IONSYS est indiqué dans le traitement des [douleurs]{Disorders} post-opératoires aiguës modérées à sévères , uniquement en milieu hospitalier .	Pain	C0030193
196_1	196_1.114	Objects	3428	3439	hospitalier	C0019994	EXACT	HOSPITAL	IONSYS est indiqué dans le traitement des douleurs post-opératoires aiguës modérées à sévères , uniquement en milieu [hospitalier]{Objects} .	Hospitals	C0019994
196_1	196_1.116	Objects	3475	3486	hospitalier	C0019994	EXACT	HOSPITAL	IONSYS est réservé à l ’ usage [hospitalier]{Objects} uniquement .	Hospitals	C0019994
196_1	196_1.117	Chemicals & Drugs	3567	3575	fentanyl	C0015846	EXACT	Fentanyl	En raison du risque potentiel connu d ’ utilisation détournée du [fentanyl]{Chemicals & Drugs} , les médecins doivent rechercher des antécédents de toxicomanie chez les patients devant être traités ( voir section 4 .	Fentanyl	C0015846
196_1	196_1.118	Living Beings	3582	3590	médecins	C0031831	EXACT	Médecins	En raison du risque potentiel connu d ’ utilisation détournée du fentanyl , les [médecins]{Living Beings} doivent rechercher des antécédents de toxicomanie chez les patients devant être traités ( voir section 4 .	Physicians	C0031831
196_1	196_1.120	Living Beings	3650	3658	patients	C0030705	EXACT	Patients	En raison du risque potentiel connu d ’ utilisation détournée du fentanyl , les médecins doivent rechercher des antécédents de toxicomanie chez les [patients]{Living Beings} devant être traités ( voir section 4 .	Patients	C0030705
196_1	196_1.121	Procedures	3671	3678	traités	C0087111	EXACT	Traitement	En raison du risque potentiel connu d ’ utilisation détournée du fentanyl , les médecins doivent rechercher des antécédents de toxicomanie chez les patients devant être [traités]{Procedures} ( voir section 4 .	Therapeutic procedure	C0087111
196_1	196_1.123	Living Beings	3832	3839	patient	C0030705	EXACT	PATIENT	IONSYS doit être activé par le [patient]{Living Beings} uniquement .	Patients	C0030705
196_1	196_1.124	Disorders	3867	3892	intervention chirurgicale	C0549433	EXACT	Intervention chirurgicale	Avant toute [intervention chirurgicale]{Disorders} , le professionnel de santé doit s ’ assurer que le patient a été correctement informé des modalités d ’ utilisation de IONSYS en post-opératoire .	Surgical intervention (finding)	C0549433
196_1	196_1.126	Living Beings	3898	3920	professionnel de santé	C1704312	EXACT	Health profession	Avant toute intervention chirurgicale , le [professionnel de santé]{Living Beings} doit s ’ assurer que le patient a été correctement informé des modalités d ’ utilisation de IONSYS en post-opératoire .	Health Professional	C1704312
196_1	196_1.127	Living Beings	3945	3952	patient	C0030705	EXACT	PATIENT	Avant toute intervention chirurgicale , le professionnel de santé doit s ’ assurer que le [patient]{Living Beings} a été correctement informé des modalités d ’ utilisation de IONSYS en post-opératoire .	Patients	C0030705
196_1	196_1.132	Living Beings	4258	4266	patients	C0030705	EXACT	Patients	Les [patients]{Living Beings} doivent être titrés jusqu ’ à obtention d ’ une analgésie efficace avant de débuter le traitement avec IONSYS .	Patients	C0030705
196_1	196_1.133	Disorders	4315	4324	analgésie	C0344307	EXACT	Analgésie	Les patients doivent être titrés jusqu ’ à obtention d ’ une [analgésie]{Disorders} efficace avant de débuter le traitement avec IONSYS .	Absence of pain sensation	C0344307
196_1	196_1.134	Procedures	4354	4364	traitement	C0087111	EXACT	Traitement	Les patients doivent être titrés jusqu ’ à obtention d ’ une analgésie efficace avant de débuter le [traitement]{Procedures} avec IONSYS .	Therapeutic procedure	C0087111
196_1	196_1.137	Living Beings	4423	4430	patient	C0030705	EXACT	PATIENT	Le système ne doit être activé que par le [patient]{Living Beings} et en cas de douleur .	Patients	C0030705
196_1	196_1.138	Disorders	4444	4451	douleur	C0030193	EXACT	DOULEUR	Le système ne doit être activé que par le patient et en cas de [douleur]{Disorders} .	Pain	C0030193
196_2	196_2.1	Living Beings	8	15	patient	C0030705	EXACT	PATIENT	Si le [patient]{Living Beings} essaie d ’ initier une dose après 80 doses ou 24 heures après la première dose , le dispositif ne répondra pas ( c ’ est-à-dire pas de lumière rouge , pas de bip sonore )..	Patients	C0030705
196_2	196_2.3	Procedures	212	222	traitement	C0087111	EXACT	Traitement	La durée maximale de [traitement]{Procedures} est de 72 heures ( 3 dispositifs ), bien que la plupart des patients n ’ auront sans doute besoin que d ’ un dispositif .	Therapeutic procedure	C0087111
196_2	196_2.5	Living Beings	283	291	patients	C0030705	EXACT	Patients	La durée maximale de traitement est de 72 heures ( 3 dispositifs ), bien que la plupart des [patients]{Living Beings} n ’ auront sans doute besoin que d ’ un dispositif .	Patients	C0030705
196_2	196_2.7	Living Beings	351	359	patients	C0030705	EXACT	Patients	Les [patients]{Living Beings} ne doivent pas porter plus d ’ un dispositif à la fois .	Patients	C0030705
196_2	196_2.10	Living Beings	481	489	patients	C0030705	EXACT	Patients	Les [patients]{Living Beings} ne doivent pas mouiller le dispositif IONSYS .	Patients	C0030705
196_2	196_2.13	Phenomena	542	549	contact	C0392367	EXACT	Contact	Un [contact]{Phenomena} prolongé avec l ’ eau pourrait nuire à l ’ efficacité du dispositif et provoquer un mauvais fonctionnement ou un arrêt du dispositif .	Physical contact	C0392367
196_2	196_2.14	Chemicals & Drugs	568	571	eau	C0043047	EXACT	Eau	Un contact prolongé avec l ’ [eau]{Chemicals & Drugs} pourrait nuire à l ’ efficacité du dispositif et provoquer un mauvais fonctionnement ou un arrêt du dispositif .	Water	C0043047
196_2	196_2.20	Living Beings	728	756	enfant en de moins de 18 ans	C0008059	EXACT	Enfant	IONSYS ne doit pas être utilisé chez l ’ [enfant en de moins de 18 ans]{Living Beings} compte-tenu de l ’ insuffisance de données disponibles concernant la sécurité et l ’ efficacité dans cette population .	Child	C0008059
196_2	196_2.21	Phenomena	826	834	sécurité	C0036043	EXACT	Sécurité	IONSYS ne doit pas être utilisé chez l ’ enfant en de moins de 18 ans compte-tenu de l ’ insuffisance de données disponibles concernant la [sécurité]{Phenomena} et l ’ efficacité dans cette population .	Safety	C0036043
196_2	196_2.23	Physiology	897	914	pharmacocinétique	C0031327	EXACT	Pharmacocinétique	Peu de données de [pharmacocinétique]{Physiology} , de sécurité et d ’ efficacité sont disponibles concernant l ’ utilisation de IONSYS chez les patients âgés de plus de 75 ans .	Drug Kinetics	C0031327
196_2	196_2.24	Phenomena	920	928	sécurité	C0036043	EXACT	Sécurité	Peu de données de pharmacocinétique , de [sécurité]{Phenomena} et d ’ efficacité sont disponibles concernant l ’ utilisation de IONSYS chez les patients âgés de plus de 75 ans .	Safety	C0036043
196_2	196_2.26	Living Beings	1010	1041	patients âgés de plus de 75 ans	C0001795	EXACT	Adulte de 80 ans ou plus	Peu de données de pharmacocinétique , de sécurité et d ’ efficacité sont disponibles concernant l ’ utilisation de IONSYS chez les [patients âgés de plus de 75 ans]{Living Beings} .	Aged over 80	C0001795
196_2	196_2.27	Living Beings	1010	1018	patients	C0030705	EXACT	Patients	Peu de données de pharmacocinétique , de sécurité et d ’ efficacité sont disponibles concernant l ’ utilisation de IONSYS chez les [patients]{Living Beings} âgés de plus de 75 ans .	Patients	C0030705
196_2	196_2.28	Disorders	1102	1107	signe	C0037088	EXACT	Signes et symptômes	Il est donc nécessaire de rechercher attentivement tout [signe]{Disorders} de toxicité du fentanyl chez les personnes âgées .	Signs and Symptoms	C0037088
196_2	196_2.30	Chemicals & Drugs	1123	1131	fentanyl	C0015846	EXACT	Fentanyl	Il est donc nécessaire de rechercher attentivement tout signe de toxicité du [fentanyl]{Chemicals & Drugs} chez les personnes âgées .	Fentanyl	C0015846
196_2	196_2.32	Procedures	1171	1182	application	C0185125	EXACT	Application	Mode d ’ [application]{Procedures}	Application procedure	C0185125
196_2	196_2.35	Chemicals & Drugs	1237	1243	sachet	C1319685	EXACT	Sachet	Le dispositif IONSYS ne doit pas être utilisé si le [sachet]{Chemicals & Drugs} n ’ est pas hermétiquement fermé .	Sachet	C1319685
196_2	196_2.37	Procedures	1298	1306	appliqué	C0185125	EXACT	Application	IONSYS doit être [appliqué]{Procedures} sur une peau saine , non irritée et non irradiée au niveau du torse ou de la partie supéro-externe du bras .	Application procedure	C0185125
196_2	196_2.38	Anatomy	1315	1319	peau	C1123023	EXACT	Peau	IONSYS doit être appliqué sur une [peau]{Anatomy} saine , non irritée et non irradiée au niveau du torse ou de la partie supéro-externe du bras .	Skin	C1123023
196_2	196_2.39	Disorders	1332	1339	irritée	C1706307	EXACT	IRRITATION	IONSYS doit être appliqué sur une peau saine , non [irritée]{Disorders} et non irradiée au niveau du torse ou de la partie supéro-externe du bras .	Irritation (finding)	C1706307
196_2	196_2.42	Anatomy	1384	1413	partie supéro-externe du bras	C0446516	EXACT	Bras	IONSYS doit être appliqué sur une peau saine , non irritée et non irradiée au niveau du torse ou de la [partie supéro-externe du bras]{Anatomy} .	Upper arm	C0446516
196_2	196_2.46	Anatomy	1462	1470	cutanées	C1123023	EXACT	Cutaneous tissue	IONSYS ne doit pas être placé sur des zones [cutanées]{Anatomy} telles que cicatrices , brûlures , tatouages , etc .	Skin	C1123023
196_2	196_2.47	Disorders	1482	1492	cicatrices	C2004491	EXACT	Cicatrices	IONSYS ne doit pas être placé sur des zones cutanées telles que [cicatrices]{Disorders} , brûlures , tatouages , etc .	Cicatrix	C2004491
196_2	196_2.49	Disorders	1506	1515	tatouages	C1366940	EXACT	Tatouage	IONSYS ne doit pas être placé sur des zones cutanées telles que cicatrices , brûlures , [tatouages]{Disorders} , etc .	Tattoo	C1366940
196_2	196_2.53	Procedures	1603	1614	application	C0185125	EXACT	Application	Les poils doivent être coupés ( ne pas raser ) au niveau du site , avant l ’ [application]{Procedures} du dispositif .	Application procedure	C0185125
196_2	196_2.56	Procedures	1657	1665	appliqué	C0185125	EXACT	Application	IONSYS ne doit pas être [appliqué]{Procedures} sur une zone précédemment utilisée .	Application procedure	C0185125
196_2	196_2.57	Procedures	1717	1728	application	C0185125	EXACT	Application	La zone d ’ [application]{Procedures} doit être nettoyée avec un tampon imbibé d ’ alcool et il faut laisser sécher la peau complètement avant l ’ application du dispositif IONSYS .	Application procedure	C0185125
196_2	196_2.60	Chemicals & Drugs	1774	1780	alcool	C0001975	EXACT	Alcools	La zone d ’ application doit être nettoyée avec un tampon imbibé d ’ [alcool]{Chemicals & Drugs} et il faut laisser sécher la peau complètement avant l ’ application du dispositif IONSYS .	Alcohols	C0001975
196_2	196_2.62	Anatomy	1810	1814	peau	C1123023	EXACT	Peau	La zone d ’ application doit être nettoyée avec un tampon imbibé d ’ alcool et il faut laisser sécher la [peau]{Anatomy} complètement avant l ’ application du dispositif IONSYS .	Skin	C1123023
196_2	196_2.63	Procedures	1838	1849	application	C0185125	EXACT	Application	La zone d ’ application doit être nettoyée avec un tampon imbibé d ’ alcool et il faut laisser sécher la peau complètement avant l ’ [application]{Procedures} du dispositif IONSYS .	Application procedure	C0185125
196_2	196_2.68	Chemicals & Drugs	1902	1909	lotions	C0544341	EXACT	Lotions	Le savon , l ’ huile , les [lotions]{Chemicals & Drugs} ou tout autre produit risquant d ’ irriter la peau ou d ’ en altérer les caractéristiques d ’ absorption ne doivent pas être utilisés .	Lotion	C0544341
196_2	196_2.69	Objects	1924	1931	produit	C1514468	EXACT	Product	Le savon , l ’ huile , les lotions ou tout autre [produit]{Objects} risquant d ’ irriter la peau ou d ’ en altérer les caractéristiques d ’ absorption ne doivent pas être utilisés .	Product	C1514468
196_2	196_2.70	Disorders	1945	1952	irriter	C1706307	EXACT	IRRITATION	Le savon , l ’ huile , les lotions ou tout autre produit risquant d ’ [irriter]{Disorders} la peau ou d ’ en altérer les caractéristiques d ’ absorption ne doivent pas être utilisés .	Irritation (finding)	C1706307
196_2	196_2.71	Anatomy	1956	1960	peau	C1123023	EXACT	Peau	Le savon , l ’ huile , les lotions ou tout autre produit risquant d ’ irriter la [peau]{Anatomy} ou d ’ en altérer les caractéristiques d ’ absorption ne doivent pas être utilisés .	Skin	C1123023
196_2	196_2.72	Phenomena	2004	2014	absorption	C0000854	EXACT	Absorption process	Le savon , l ’ huile , les lotions ou tout autre produit risquant d ’ irriter la peau ou d ’ en altérer les caractéristiques d ’ [absorption]{Phenomena} ne doivent pas être utilisés .	Process of absorption	C0000854
196_2	196_2.73	Chemicals & Drugs	2051	2057	sachet	C1319685	EXACT	Sachet	Le [sachet]{Chemicals & Drugs} contenant IONSYS doit être ouvert à partir de l ’ encoche pré-découpée , puis en déchirant soigneusement le haut du sachet .	Sachet	C1319685
196_2	196_2.75	Chemicals & Drugs	2174	2180	sachet	C1319685	EXACT	Sachet	Le sachet contenant IONSYS doit être ouvert à partir de l ’ encoche pré-découpée , puis en déchirant soigneusement le haut du [sachet]{Chemicals & Drugs} .	Sachet	C1319685
